data,precip,temp,temp_max,temp_min,SemEpi,umid
2017-01-01,0.0,23.55,24.263,22.588,1,58.583
2017-01-08,0.002,18.092,18.817,17.434,2,65.887
2017-01-15,0.595,19.369,20.082,18.822,3,77.362
2017-01-22,0.06,21.195,21.936,20.527,4,68.619
2017-01-29,0.01,22.143,22.997,21.401,5,64.881
2017-02-05,0.1,20.862,21.64,20.124,6,67.708
2017-02-12,0.079,18.398,19.336,17.591,7,70.423
2017-02-19,0.0,21.173,22.06,20.458,8,69.357
2017-02-26,0.219,20.881,21.701,20.197,9,72.5
2017-03-05,0.2,20.206,20.883,19.567,10,75.815
2017-03-12,0.01,17.834,18.621,17.019,11,69.639
2017-03-19,0.407,21.52,22.319,20.801,12,68.589
2017-03-26,0.0,20.39,21.101,19.691,13,67.679
2017-04-02,0.27,19.84,20.577,19.13,14,74.03
2017-04-09,0.0,17.865,18.586,17.149,15,64.863
2017-04-16,0.22,20.16,20.862,19.408,16,76.704
2017-04-23,0.012,19.457,20.248,18.749,17,73.143
2017-04-30,0.348,18.899,19.518,18.354,18,82.625
2017-05-07,0.324,19.327,20.148,18.664,19,72.268
2017-05-14,0.0,19.243,19.965,18.531,20,66.219
2017-05-21,0.074,17.253,17.737,16.858,21,86.208
2017-05-28,0.017,18.078,18.724,17.498,22,79.196
2017-06-04,0.3,20.245,20.983,19.494,23,69.155
2017-06-11,0.002,18.18,18.95,17.52,24,68.44
2017-06-18,0.055,17.613,18.388,17.004,25,76.182
2017-06-25,0.0,16.259,16.98,15.602,26,69.589
2017-07-02,0.056,17.387,18.079,16.677,27,72.446
2017-07-09,0.161,18.958,19.743,18.229,28,67.869
2017-07-16,0.007,17.382,18.364,16.664,29,73.098
2017-07-23,0.0,16.539,17.301,15.795,30,61.405
2017-07-30,0.001,15.28,16.061,14.588,31,66.292
2017-08-06,0.221,20.083,20.872,19.398,32,69.75
2017-08-13,0.0,17.818,18.612,17.022,33,63.357
2017-08-20,0.0,19.381,20.122,18.654,34,61.018
2017-08-27,0.0,16.405,17.184,15.678,35,63.225
2017-09-03,0.005,20.867,21.612,19.99,36,56.72
2017-09-10,0.0,19.292,20.047,18.555,37,61.494
2017-09-17,0.002,20.143,20.998,19.274,38,61.179
2017-09-24,0.0,18.272,19.201,17.442,39,56.686
2017-10-01,0.37,19.51,20.375,18.777,40,64.288
2017-10-08,0.001,20.161,20.883,19.429,41,64.119
2017-10-15,0.113,21.974,22.759,21.209,42,56.818
2017-10-22,0.025,21.791,22.596,21.005,43,54.292
2017-10-29,0.067,21.1,21.9,20.449,44,64.562
2017-11-05,0.0,21.144,21.895,20.394,45,70.717
2017-11-12,0.0,19.351,20.005,18.767,46,69.76
2017-11-19,0.168,21.836,22.832,20.978,47,60.266
2017-11-26,0.011,21.107,21.888,20.238,48,83.536
2017-12-03,0.052,21.502,22.554,20.551,49,71.109
2017-12-10,0.075,18.852,19.63,18.13,50,67.458
2017-12-17,0.059,21.608,22.565,20.656,51,70.618
2017-12-24,0.0,22.3,23.139,21.426,52,66.222
2017-12-31,0.066,22.737,23.566,22.015,53,74.003
